country,continent,totalCityPopulation,population,ratio
Lebanon,Asia,709221,6100075,8.6
Costa Rica,North America,586894,5213362,8.9
India,Asia,146779982,1326093247,9.0
Republic of Ireland,Europe,544640,5123536,9.4
Burkina Faso,Africa,2154217,20488000,9.5
Senegal,Africa,1604353,15850567,9.9
People's Republic of China,Asia,136732848,1443497378,10.6
Botswana,Africa,210600,2291661,10.9
Thailand,Asia,5929467,66188503,11.2
Czech Republic,Europe,932447,10516707,11.3
Nepal,Asia,2655774,30327877,11.4
Burundi,Africa,996656,11530580,11.6
Chile,South America,1671560,19458000,11.6
Sri Lanka,Asia,1641360,21444000,13.1
Germany,Europe,6256174,83149300,13.3
Grenada,North America,8091,107825,13.3
Brazil,South America,15642318,213317639,13.6
Niger,Africa,1529702,21477348,14.0
Tunisia,Africa,817041,11565204,14.2
Belgium,Europe,765380,11584008,15.1
Kenya,Africa,3146910,48468138,15.4
Hungary,Europe,614946,9769526,15.9
Federated States of Micronesia,Insular Oceania,6227,105544,16.9
Romania,Europe,1114272,19586539,17.6
Austria,Europe,510419,8979894,17.6
Malta,Europe,24356,465292,19.1
East Timor,Asia,64331,1296311,20.2
United States of America,North America,14949761,331449281,22.2
United States of America,Insular Oceania,14949761,331449281,22.2
Armenia,Asia,123683,2930450,23.7
Saudi Arabia,Asia,1344776,33000000,24.5
Rwanda,Africa,487080,12208407,25.1
France,Europe,2520211,67063703,26.6
Qatar,Asia,87970,2639211,30.0
Ethiopia,Africa,3158391,104957438,33.2
Cyprus,Europe,33207,1141166,34.4
Cyprus,Asia,33207,1141166,34.4
Japan,Asia,3096335,125440000,40.5
Madagascar,Africa,580888,25570895,44.0
Papua New Guinea,Insular Oceania,198632,8935000,45.0
Russia,Europe,2097531,146804372,70.0
Russia,Asia,2097531,146804372,70.0
The Gambia,Africa,31356,2213889,70.6
Switzerland,Europe,96345,8466017,87.9
Ukraine,Europe,365839,41588354,113.7
Portugal,Europe,83401,10347892,124.1
Palestinian territories,Asia,19197,4550000,237.0
Indonesia,Asia,841902,275439000,327.2
Indonesia,Insular Oceania,841902,275439000,327.2
Iran,Asia,54178,86758304,1601.4
Philippines,Asia,61432,109035343,1774.9
